[INFO] [1773345123.442113643] [line_follower_p]: Line Follower P-Controller started. Target Y: 0.0
[INFO] [1773345123.451107244] [line_follower_p]: Time:     0.00s | Actual Y: -0.318 | Steer Cmd:  0.400
[INFO] [1773345125.702429803] [line_follower_p]: Time:     2.26s | Actual Y: -0.250 | Steer Cmd:  0.400
[INFO] [1773345125.712849714] [line_follower_p]: Time:     2.27s | Actual Y: -0.250 | Steer Cmd:  0.400
[INFO] [1773345125.721910231] [line_follower_p]: Time:     2.28s | Actual Y: -0.249 | Steer Cmd:  0.400
[INFO] [1773345125.730707270] [line_follower_p]: Time:     2.28s | Actual Y: -0.248 | Steer Cmd:  0.400
[INFO] [1773345125.760776374] [line_follower_p]: Time:     2.31s | Actual Y: -0.247 | Steer Cmd:  0.400
[INFO] [1773345125.769191901] [line_follower_p]: Time:     2.32s | Actual Y: -0.246 | Steer Cmd:  0.400
[INFO] [1773345125.781500112] [line_follower_p]: Time:     2.34s | Actual Y: -0.246 | Steer Cmd:  0.400
[INFO] [1773345125.797336425] [line_follower_p]: Time:     2.35s | Actual Y: -0.245 | Steer Cmd:  0.400
[INFO] [1773345125.815739860] [line_follower_p]: Time:     2.37s | Actual Y: -0.244 | Steer Cmd:  0.400
[INFO] [1773345125.835826697] [line_follower_p]: Time:     2.39s | Actual Y: -0.243 | Steer Cmd:  0.400
[INFO] [1773345125.852329810] [line_follower_p]: Time:     2.41s | Actual Y: -0.243 | Steer Cmd:  0.400
[INFO] [1773345125.869394603] [line_follower_p]: Time:     2.42s | Actual Y: -0.242 | Steer Cmd:  0.400
[INFO] [1773345125.889392026] [line_follower_p]: Time:     2.44s | Actual Y: -0.241 | Steer Cmd:  0.400
[INFO] [1773345125.906304795] [line_follower_p]: Time:     2.46s | Actual Y: -0.240 | Steer Cmd:  0.400
[INFO] [1773345125.925009298] [line_follower_p]: Time:     2.48s | Actual Y: -0.239 | Steer Cmd:  0.400
[INFO] [1773345125.942611520] [line_follower_p]: Time:     2.50s | Actual Y: -0.238 | Steer Cmd:  0.400
[INFO] [1773345125.991813778] [line_follower_p]: Time:     2.55s | Actual Y: -0.237 | Steer Cmd:  0.400
[INFO] [1773345126.000572920] [line_follower_p]: Time:     2.55s | Actual Y: -0.236 | Steer Cmd:  0.400
[INFO] [1773345126.007305138] [line_follower_p]: Time:     2.56s | Actual Y: -0.235 | Steer Cmd:  0.400
[INFO] [1773345126.015330455] [line_follower_p]: Time:     2.57s | Actual Y: -0.235 | Steer Cmd:  0.400
[INFO] [1773345126.070399540] [line_follower_p]: Time:     2.62s | Actual Y: -0.234 | Steer Cmd:  0.400
[INFO] [1773345126.079851500] [line_follower_p]: Time:     2.63s | Actual Y: -0.233 | Steer Cmd:  0.400
[INFO] [1773345126.088015960] [line_follower_p]: Time:     2.64s | Actual Y: -0.232 | Steer Cmd:  0.400
[INFO] [1773345126.096583389] [line_follower_p]: Time:     2.65s | Actual Y: -0.231 | Steer Cmd:  0.400
[INFO] [1773345126.102588937] [line_follower_p]: Time:     2.66s | Actual Y: -0.230 | Steer Cmd:  0.400
[INFO] [1773345126.122194238] [line_follower_p]: Time:     2.68s | Actual Y: -0.228 | Steer Cmd:  0.400
[INFO] [1773345126.135307545] [line_follower_p]: Time:     2.69s | Actual Y: -0.228 | Steer Cmd:  0.400
[INFO] [1773345126.164425314] [line_follower_p]: Time:     2.72s | Actual Y: -0.226 | Steer Cmd:  0.400
[INFO] [1773345126.178646613] [line_follower_p]: Time:     2.73s | Actual Y: -0.225 | Steer Cmd:  0.400
[INFO] [1773345126.196430463] [line_follower_p]: Time:     2.75s | Actual Y: -0.224 | Steer Cmd:  0.400
[INFO] [1773345126.214832523] [line_follower_p]: Time:     2.77s | Actual Y: -0.222 | Steer Cmd:  0.400
[INFO] [1773345126.233752197] [line_follower_p]: Time:     2.79s | Actual Y: -0.220 | Steer Cmd:  0.400
[INFO] [1773345126.254136737] [line_follower_p]: Time:     2.81s | Actual Y: -0.219 | Steer Cmd:  0.400
